Source,Target,Type,Id,Label,timeset,Weight
charts/,PDF/U118A0.pdf,Directed,24427,,,1
charts/charindex.html,PDF/U118A0.pdf,Directed,24428,,,1
charts/index.html,PDF/U118A0.pdf,Directed,24429,,,1
charts/,PDF/U11A00.pdf,Directed,24430,,,1
charts/charindex.html,PDF/U11A00.pdf,Directed,24431,,,1
charts/index.html,PDF/U11A00.pdf,Directed,24432,,,1
charts/,PDF/U11A50.pdf,Directed,24433,,,1
charts/charindex.html,PDF/U11A50.pdf,Directed,24434,,,1
charts/index.html,PDF/U11A50.pdf,Directed,24435,,,1
charts/,PDF/U11AC0.pdf,Directed,24436,,,1
charts/charindex.html,PDF/U11AC0.pdf,Directed,24437,,,1
charts/index.html,PDF/U11AC0.pdf,Directed,24438,,,1
charts/,PDF/U11C00.pdf,Directed,24439,,,1
charts/charindex.html,PDF/U11C00.pdf,Directed,24440,,,1
charts/index.html,PDF/U11C00.pdf,Directed,24441,,,1
charts/,PDF/U11C70.pdf,Directed,24442,,,1
charts/charindex.html,PDF/U11C70.pdf,Directed,24443,,,1
charts/index.html,PDF/U11C70.pdf,Directed,24444,,,1
charts/,PDF/U11D00.pdf,Directed,24445,,,1
charts/charindex.html,PDF/U11D00.pdf,Directed,24446,,,1
charts/index.html,PDF/U11D00.pdf,Directed,24447,,,1
charts/,PDF/U11D60.pdf,Directed,24448,,,1
charts/charindex.html,PDF/U11D60.pdf,Directed,24449,,,1
charts/index.html,PDF/U11D60.pdf,Directed,24450,,,1
charts/,PDF/U11EE0.pdf,Directed,24451,,,1
charts/charindex.html,PDF/U11EE0.pdf,Directed,24452,,,1
charts/index.html,PDF/U11EE0.pdf,Directed,24453,,,1
charts/,PDF/U1200.pdf,Directed,24454,,,1
charts/charindex.html,PDF/U1200.pdf,Directed,24455,,,27
charts/index.html,PDF/U1200.pdf,Directed,24482,,,1
charts/,PDF/U12000.pdf,Directed,24483,,,1
charts/charindex.html,PDF/U12000.pdf,Directed,24484,,,1
charts/index.html,PDF/U12000.pdf,Directed,24485,,,1
charts/,PDF/U12400.pdf,Directed,24486,,,2
charts/charindex.html,PDF/U12400.pdf,Directed,24488,,,3
charts/index.html,PDF/U12400.pdf,Directed,24491,,,2
charts/,PDF/U12480.pdf,Directed,24493,,,1
charts/charindex.html,PDF/U12480.pdf,Directed,24494,,,1
charts/index.html,PDF/U12480.pdf,Directed,24495,,,1
charts/,PDF/U13000.pdf,Directed,24496,,,1
charts/charindex.html,PDF/U13000.pdf,Directed,24497,,,2
charts/index.html,PDF/U13000.pdf,Directed,24499,,,1
charts/,PDF/U1380.pdf,Directed,24500,,,1
charts/charindex.html,PDF/U1380.pdf,Directed,24501,,,1
charts/index.html,PDF/U1380.pdf,Directed,24502,,,1
charts/,PDF/U13A0.pdf,Directed,24503,,,1
charts/charindex.html,PDF/U13A0.pdf,Directed,24504,,,2
charts/index.html,PDF/U13A0.pdf,Directed,24506,,,1
charts/,PDF/U1400.pdf,Directed,24507,,,1
charts/charindex.html,PDF/U1400.pdf,Directed,24508,,,10
charts/index.html,PDF/U1400.pdf,Directed,24518,,,1
charts/,PDF/U14400.pdf,Directed,24519,,,1
charts/charindex.html,PDF/U14400.pdf,Directed,24520,,,2
charts/index.html,PDF/U14400.pdf,Directed,24522,,,1
charts/,PDF/U1680.pdf,Directed,24523,,,1
charts/charindex.html,PDF/U1680.pdf,Directed,24524,,,8
charts/index.html,PDF/U1680.pdf,Directed,24532,,,1
charts/,PDF/U16800.pdf,Directed,24533,,,1
charts/charindex.html,PDF/U16800.pdf,Directed,24534,,,1
charts/index.html,PDF/U16800.pdf,Directed,24535,,,1
charts/,PDF/U16A0.pdf,Directed,24536,,,1
charts/charindex.html,PDF/U16A0.pdf,Directed,24537,,,6
charts/index.html,PDF/U16A0.pdf,Directed,24543,,,1
charts/,PDF/U16A40.pdf,Directed,24544,,,1
charts/charindex.html,PDF/U16A40.pdf,Directed,24545,,,1
charts/index.html,PDF/U16A40.pdf,Directed,24546,,,1
charts/,PDF/U16AD0.pdf,Directed,24547,,,1
charts/charindex.html,PDF/U16AD0.pdf,Directed,24548,,,1
charts/index.html,PDF/U16AD0.pdf,Directed,24549,,,1
charts/,PDF/U16B00.pdf,Directed,24550,,,1
charts/charindex.html,PDF/U16B00.pdf,Directed,24551,,,1
charts/index.html,PDF/U16B00.pdf,Directed,24552,,,1
charts/,PDF/U16E40.pdf,Directed,24553,,,1
charts/charindex.html,PDF/U16E40.pdf,Directed,24554,,,1
charts/index.html,PDF/U16E40.pdf,Directed,24555,,,1
charts/,PDF/U16F00.pdf,Directed,24556,,,1
charts/charindex.html,PDF/U16F00.pdf,Directed,24557,,,1
charts/index.html,PDF/U16F00.pdf,Directed,24558,,,1
charts/,PDF/U16FE0.pdf,Directed,24559,,,1
charts/charindex.html,PDF/U16FE0.pdf,Directed,24560,,,1
charts/index.html,PDF/U16FE0.pdf,Directed,24561,,,1
charts/,PDF/U1700.pdf,Directed,24562,,,1
charts/charindex.html,PDF/U1700.pdf,Directed,24563,,,3
charts/index.html,PDF/U1700.pdf,Directed,24566,,,1
charts/,PDF/U17000.pdf,Directed,24567,,,1
charts/charindex.html,PDF/U17000.pdf,Directed,24568,,,1
charts/index.html,PDF/U17000.pdf,Directed,24569,,,1
charts/,PDF/U1720.pdf,Directed,24570,,,1
charts/charindex.html,PDF/U1720.pdf,Directed,24571,,,8
charts/index.html,PDF/U1720.pdf,Directed,24579,,,1
charts/,PDF/U1740.pdf,Directed,24580,,,1
charts/charindex.html,PDF/U1740.pdf,Directed,24581,,,1
charts/index.html,PDF/U1740.pdf,Directed,24582,,,1
charts/,PDF/U1760.pdf,Directed,24583,,,1
charts/charindex.html,PDF/U1760.pdf,Directed,24584,,,1
charts/index.html,PDF/U1760.pdf,Directed,24585,,,1
charts/,PDF/U1780.pdf,Directed,24586,,,1
charts/charindex.html,PDF/U1780.pdf,Directed,24587,,,27
charts/index.html,PDF/U1780.pdf,Directed,24614,,,1
charts/,PDF/U1800.pdf,Directed,24615,,,1
charts/charindex.html,PDF/U1800.pdf,Directed,24616,,,46
charts/index.html,PDF/U1800.pdf,Directed,24662,,,1
charts/,PDF/U18800.pdf,Directed,24663,,,1
charts/charindex.html,PDF/U18800.pdf,Directed,24664,,,1
charts/index.html,PDF/U18800.pdf,Directed,24665,,,1
charts/,PDF/U18B0.pdf,Directed,24666,,,1
charts/charindex.html,PDF/U18B0.pdf,Directed,24667,,,3
charts/index.html,PDF/U18B0.pdf,Directed,24670,,,1
charts/,PDF/U1900.pdf,Directed,24671,,,1
charts/charindex.html,PDF/U1900.pdf,Directed,24672,,,8
charts/index.html,PDF/U1900.pdf,Directed,24680,,,1
charts/,PDF/U1950.pdf,Directed,24681,,,1
charts/charindex.html,PDF/U1950.pdf,Directed,24682,,,1
charts/index.html,PDF/U1950.pdf,Directed,24683,,,1
charts/,PDF/U1980.pdf,Directed,24684,,,1
charts/charindex.html,PDF/U1980.pdf,Directed,24685,,,5
charts/index.html,PDF/U1980.pdf,Directed,24690,,,1
charts/,PDF/U19E0.pdf,Directed,24691,,,1
charts/charindex.html,PDF/U19E0.pdf,Directed,24692,,,2
charts/index.html,PDF/U19E0.pdf,Directed,24694,,,1
charts/,PDF/U1A00.pdf,Directed,24695,,,1
charts/charindex.html,PDF/U1A00.pdf,Directed,24696,,,1
charts/index.html,PDF/U1A00.pdf,Directed,24697,,,1
charts/,PDF/U1A20.pdf,Directed,24698,,,1
charts/charindex.html,PDF/U1A20.pdf,Directed,24699,,,1
charts/index.html,PDF/U1A20.pdf,Directed,24700,,,1
charts/,PDF/U1AB0.pdf,Directed,24701,,,1
charts/charindex.html,PDF/U1AB0.pdf,Directed,24702,,,1
charts/index.html,PDF/U1AB0.pdf,Directed,24703,,,1
charts/,PDF/U1B00.pdf,Directed,24704,,,1
charts/charindex.html,PDF/U1B00.pdf,Directed,24705,,,6
charts/index.html,PDF/U1B00.pdf,Directed,24711,,,1
charts/,PDF/U1B000.pdf,Directed,24712,,,1
charts/charindex.html,PDF/U1B000.pdf,Directed,24713,,,2
charts/index.html,PDF/U1B000.pdf,Directed,24715,,,1
charts/,PDF/U1B100.pdf,Directed,24716,,,1
charts/charindex.html,PDF/U1B100.pdf,Directed,24717,,,2
charts/index.html,PDF/U1B100.pdf,Directed,24719,,,1
charts/,PDF/U1B170.pdf,Directed,24720,,,1
charts/charindex.html,PDF/U1B170.pdf,Directed,24721,,,1
charts/index.html,PDF/U1B170.pdf,Directed,24722,,,1
charts/,PDF/U1B80.pdf,Directed,24723,,,1
charts/charindex.html,PDF/U1B80.pdf,Directed,24724,,,1
charts/index.html,PDF/U1B80.pdf,Directed,24725,,,1
charts/,PDF/U1BC0.pdf,Directed,24726,,,1
charts/charindex.html,PDF/U1BC0.pdf,Directed,24727,,,1
charts/index.html,PDF/U1BC0.pdf,Directed,24728,,,1
charts/,PDF/U1BC00.pdf,Directed,24729,,,1
charts/charindex.html,PDF/U1BC00.pdf,Directed,24730,,,1
charts/index.html,PDF/U1BC00.pdf,Directed,24731,,,1
charts/,PDF/U1BCA0.pdf,Directed,24732,,,1
charts/charindex.html,PDF/U1BCA0.pdf,Directed,24733,,,1
charts/index.html,PDF/U1BCA0.pdf,Directed,24734,,,1
charts/,PDF/U1C00.pdf,Directed,24735,,,1
charts/charindex.html,PDF/U1C00.pdf,Directed,24736,,,1
charts/index.html,PDF/U1C00.pdf,Directed,24737,,,1
charts/,PDF/U1C50.pdf,Directed,24738,,,1
charts/charindex.html,PDF/U1C50.pdf,Directed,24739,,,1
charts/index.html,PDF/U1C50.pdf,Directed,24740,,,1
charts/,PDF/U1C80.pdf,Directed,24741,,,1
charts/charindex.html,PDF/U1C80.pdf,Directed,24742,,,1
charts/index.html,PDF/U1C80.pdf,Directed,24743,,,1
charts/,PDF/U1C90.pdf,Directed,24744,,,1
charts/charindex.html,PDF/U1C90.pdf,Directed,24745,,,1
charts/index.html,PDF/U1C90.pdf,Directed,24746,,,1
