Source,Target
standard/unsupported.html,alloc/Pipeline.html
unicode.org,alloc/Pipeline.html
unicode.org,alloc/Pipeline.html
announcements/,announcements/
announcements/,announcements/
announcements/,announcements/
announcements/,announcements/
announcements/,announcements/
announcements/,announcements/
announcements/articles.html,announcements/
announcements/books.html,announcements/
announcements/books.html,announcements/
history/,announcements/
history/index.html,announcements/
sitemap/,announcements/
sitemap/,announcements/
unicode.org,announcements/
unicode.org,announcements/
announcements/,announcements/ann-feb16-2010.html
announcements/,announcements/ann-jan05-2010.html
announcements/,announcements/ann-Jun02-2010.html
announcements/articles.html,announcements/articles.html
announcements/articles.html,announcements/articles.html
announcements/articles.html,announcements/articles.html
announcements/,announcements/articles.html
announcements/books.html,announcements/articles.html
announcements/quotations.html,announcements/articles.html
casestudy/,announcements/articles.html
consortium/newcomer.html,announcements/articles.html
education/,announcements/articles.html
education/consortwork.html,announcements/articles.html
education/ngos.html,announcements/articles.html
education/students.html,announcements/articles.html
history/,announcements/articles.html
history/index.html,announcements/articles.html
press/,announcements/articles.html
press/,announcements/articles.html
sitemap/,announcements/articles.html
standard/tutorial-info.html,announcements/articles.html
